failed to get console mode for stdout: The handle is invalid.
item-app-1  | 
item-db-1   | 2024-05-10T20:02:09.359+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=66b226beca54
item-db-1   | 2024-05-10T20:02:09.359+0000 I CONTROL  [initandlisten] db version v3.6.23
item-db-1   | 2024-05-10T20:02:09.359+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
item-db-1   | 2024-05-10T20:02:09.359+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
item-db-1   | 2024-05-10T20:02:09.359+0000 I CONTROL  [initandlisten] allocator: tcmalloc
item-db-1   | 2024-05-10T20:02:09.359+0000 I CONTROL  [initandlisten] modules: none
item-db-1   | 2024-05-10T20:02:09.359+0000 I CONTROL  [initandlisten] build environment:
item-db-1   | 2024-05-10T20:02:09.359+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
item-db-1   | 2024-05-10T20:02:09.359+0000 I CONTROL  [initandlisten]     distarch: x86_64
item-db-1   | 2024-05-10T20:02:09.359+0000 I CONTROL  [initandlisten]     target_arch: x86_64
item-app-1  | > docker-software-delivery@1.0.0 start /app
item-db-1   | 2024-05-10T20:02:09.359+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
item-db-1   | 2024-05-10T20:02:09.360+0000 I STORAGE  [initandlisten] 
item-db-1   | 2024-05-10T20:02:09.360+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
item-app-1  | > node ./bin/www
item-app-1  | 
item-db-1   | 2024-05-10T20:02:09.360+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
item-db-1   | 2024-05-10T20:02:09.361+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=3298M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
item-db-1   | 2024-05-10T20:02:09.824+0000 I STORAGE  [initandlisten] WiredTiger message [1715371329:824914][1:0x7f2e4dedba40], txn-recover: Set global recovery timestamp: 0
item-db-1   | 2024-05-10T20:02:09.882+0000 I CONTROL  [initandlisten] 
item-db-1   | 2024-05-10T20:02:09.882+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
item-db-1   | 2024-05-10T20:02:09.882+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
item-db-1   | 2024-05-10T20:02:09.882+0000 I CONTROL  [initandlisten] 
item-db-1   | 2024-05-10T20:02:09.882+0000 I CONTROL  [initandlisten] 
item-app-1  | NODE_ENV: production
item-app-1  | Connected to database
item-app-1  | [0mGET / [32m200 [0m365.536 ms - 785[0m
item-db-1   | 2024-05-10T20:02:09.882+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/enabled is 'always'.
item-db-1   | 2024-05-10T20:02:09.882+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
item-db-1   | 2024-05-10T20:02:09.882+0000 I CONTROL  [initandlisten] 
item-db-1   | 2024-05-10T20:02:09.883+0000 I STORAGE  [initandlisten] createCollection: admin.system.version with provided UUID: 7dd3ed96-f122-4a76-b555-1f0326daafce
item-app-1  | [0mGET /javascripts/dist/dist.min.js [32m200 [0m52.420 ms - 186999[0m
item-app-1  | [0mGET /stylesheets/style.css [32m200 [0m69.284 ms - 519[0m
item-db-1   | 2024-05-10T20:02:09.905+0000 I COMMAND  [initandlisten] setting featureCompatibilityVersion to 3.6
item-db-1   | 2024-05-10T20:02:09.906+0000 I STORAGE  [initandlisten] createCollection: local.startup_log with generated UUID: 8c026783-1ccf-472b-8acf-74bb6c2845b1
item-db-1   | 2024-05-10T20:02:09.928+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
item-db-1   | 2024-05-10T20:02:09.929+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
